index,gamerTag,numCombosStarted,totalComboDamage,averageComboDamage,maxComboDamage,percentTimeClosestCenter,percentTimeInShield,rollCount,numRecoveries,totalRecoveryDamage,averageRecoveryDamage,maxRecoveryDamage,numSuccessfulRecoveries,recoverySuccessPercent,numEdgeguards,numFailedEdgeguards,edgeguardSuccessPercent,numPunishesStarted,numKillingPunishes,totalPunishDamage,averagePunishDamage,neutralWinPercent,openingsPerKill,won
214,Mew2King,101.72603215562518,972.4584484438416,11.090032861025435,98.90881275152913,59.271796224278525,5.739797389751335,16.342897408400535,24.08363298715608,120.32656959918803,4.989076374988387,84.61640782469874,20.1915235613317,57.04598528504431,7.63652550913527,18.51968731082414,18.690262138300117,47.59048144568963,10.314618393217959,1165.8861833522988,15.198985170941885,48.62087920570759,6.448520528824325,0.0
215,Lucky,101.80707029024308,935.3760132005026,12.74889601065782,29.879232844270255,48.92413050571406,9.572336209352738,23.073532866577057,17.153946914660693,317.0883243396212,12.982272983196829,77.63074301620702,11.099967711077454,49.873504541506186,25.368043449939133,22.657120507582864,19.747429576321235,50.08477904744742,5.193300219515443,560.5331482024047,22.506464659910563,43.790375279554425,7.05619749267064,0.0
216,HugS,109.47191430434484,790.7890514922551,10.123017998690026,27.72602338129083,43.33441836668669,5.201361186533876,12.397824843545457,16.916007758299536,317.1223792373638,7.214532826644302,57.38271396634915,14.584104797668791,74.78201703264126,20.358338119743962,3.639246546457052,31.539957521215143,45.32009539719135,3.981818801934946,890.5343775232922,17.86839548988761,51.22175788490064,8.647385658941639,0.0
217,Lucky,97.84797334518942,920.1014791394667,18.639006420338504,38.52318893865008,50.191546700466205,4.483743512343961,15.202052134339514,21.534775124974743,434.1585250846498,16.554140682597815,30.39364840415125,8.366598281436646,61.23721224027723,10.11760530822818,12.937191062763562,33.19747125272113,75.13495233674277,9.992080769702856,670.6199325652992,19.9057906126959,53.16860551928608,7.609896566929225,0.0
218,PewPewU,124.53742738199347,567.8622179622682,15.226972709548711,32.88203365647227,49.77629439220772,1.4628002333305115,18.43920440489942,28.85392828009274,313.30925540408526,16.396417970266054,53.25804889083142,20.09837160653195,78.39577469065061,18.179502056590337,7.161062096746761,16.48419514817083,48.36483548898671,4.563079503485798,1069.3835313428467,25.26476255677527,46.03099332396489,6.7836622827586375,0.0
219,SFAT,85.83109421686319,1304.4240861425815,20.34217647324125,54.78844793937843,54.980825373097744,7.7324822076793716,13.107827393312384,19.008987627874614,80.02284786773109,14.021644289654642,47.59013970431782,14.179994592267207,76.62708086316675,24.863046923533453,13.276847045056222,30.08115984395187,54.16705228123342,4.265752661072983,886.4606818897614,16.69497067734326,48.79189064922587,8.256186642066352,0.0
220,ChuDat,56.39883968537593,682.018372665905,18.340888339088494,28.11714463007724,48.072012851305416,1.1633801451331776,17.343742089387405,21.549305136267552,186.77492977062204,16.82390912522591,55.633315309699,22.00713505586597,77.85137654642364,19.04752199656704,21.305606121258453,15.829269044535444,36.31311527207552,6.9128566903223145,2050.7562020972164,24.919804669374386,46.82574504113121,7.83554441340063,0.0
221,Ice,58.753875828478435,799.154862207655,18.80976515256653,43.4673902087424,45.67002938728492,2.7022620172158005,19.096945408556888,20.270438703480497,270.43667371720454,9.123892994855378,63.3051441402073,15.355029521523626,74.42782013061175,14.32649170562305,12.210912548949457,26.772287201832825,46.12971532932063,7.213139320452452,612.0316060344192,20.333977566558662,52.74297011347989,8.020043153848922,0.0
222,HugS,76.71585987418061,1423.9823776058474,15.847365120340616,108.21253440588775,43.84052469238125,6.246897798054922,19.36006432245892,19.03978646656735,523.8850253673907,8.603259775583716,56.6479973830371,9.991202916099994,62.80361054558725,26.156652064711466,21.768521012482477,27.63193458766873,57.616744677545256,11.68126034305688,1055.066527258687,21.452471638749927,48.52981904961674,6.967085750983006,0.0
223,Lucky,122.60587695581725,1891.601706781534,15.963856236523132,36.74178288164135,45.380186795282086,4.475927229674996,16.396190344358892,27.918965770666865,255.2615942905193,7.539388175401845,52.45595834895727,14.18763719480951,77.53884843667869,10.172386746993839,13.566262302499668,26.78954227977199,81.35523760119263,10.435549928047912,888.2026597244892,21.139611932989276,50.76424483543215,6.715182879238416,0.0
224,PewPewU,69.6786138364194,1261.2889162098804,11.900475377796266,55.335703423827624,45.16548130077184,4.0657274672060275,18.966452124402018,19.813765655011913,306.2416173656621,9.102030924695383,46.88477834609217,1.8168610839120474,61.76413202012998,23.326843008372503,15.467619365804678,36.06408142206293,63.62209204747986,10.312595851519012,1045.7171044106874,19.883397818944914,51.67432747205378,6.666136066049791,0.0
225,Plup,69.19530285769162,1332.4002957875337,15.389444867028274,46.135982449410136,47.33365824627728,1.385082044767219,17.66698698018019,24.700571907258215,418.31310666437753,8.412246614532135,46.77801523726221,10.885722808954283,61.698761443246866,22.012103309391886,17.990617847299255,9.779549626922964,31.922414701971018,13.086128097973788,1963.907359476814,23.957330564024275,41.46644235129435,9.035051148542395,0.0
226,HugS,79.01949589221397,819.4377164472846,15.7425118855288,50.419537395977045,60.0346123157624,3.1136396007854366,24.857386190602238,18.814427798602456,265.1454778793554,12.61385928633352,75.8906873478961,9.638682967303325,61.945491622792645,17.79771758952635,15.446564543838011,21.814267949950928,75.0718285806315,11.043304818654022,782.356778327695,19.8727718510283,47.36170111621242,7.925607416643436,0.0
227,Leffen,50.454120846674165,630.1346215974784,14.676863394009917,88.9685365870455,45.75947627804481,1.1657041132844967,16.05763348643366,30.115178130982343,404.2604810523356,7.0810037967428325,43.52181787478714,21.737786223283578,71.74778283150249,16.90064828025962,13.135512491862091,12.401067105348723,62.897923871254555,13.570412242963492,1585.7365871357592,23.06130540177537,44.036618828466416,5.157092138335378,0.0
228,Infinite Numbers,130.31306005720555,1767.1776150078638,16.761035298356177,52.98004488998855,45.081881516060356,3.183786383725632,12.256827210278374,9.301180891340938,293.73997575242726,10.163019206421486,77.33178424187176,12.328622154445053,77.76147017608803,20.18633544538487,6.955990671188388,39.464569329530704,69.02064651188877,10.952730822109233,1138.1416202858018,24.4070945916209,42.04308473086957,5.434420168971908,0.0
229,Infinite Numbers,108.33788535754601,799.2741600584934,14.339776845726337,21.770496706001104,45.788213628444204,6.363337463119434,15.520657575236115,19.309418125012968,223.82579071832836,11.791863934761139,37.63329776495731,10.26863737386991,61.03834395960037,20.312938219121556,21.385514656875483,30.146640950972547,66.55865633100166,9.592339757911557,1309.1641595353299,20.701941454784293,50.518755659632255,6.452184996894191,0.0
230,Axe,36.04192270412668,1113.0675490492745,11.345309383805455,36.33320100115269,51.206355314624986,3.963472330688475,5.117766448536276,26.933535984620484,345.1738704853934,13.522390912419906,49.850422844972876,3.4727613153801737,48.2595291284546,35.153710280587504,16.334859990880744,23.54852909166034,56.6185303605893,9.860710642969448,1144.541638011187,17.695250088587443,42.86620183364626,7.533407316505084,0.0
231,Axe,108.52873331896745,1119.2965542195611,20.039952525609586,9.16234377290105,46.6687597997589,2.891575529254128,6.465726672153561,10.12047783546519,464.7836819503372,7.152579315169596,64.9840813399962,14.732638393334845,72.89597464386556,26.749816885997713,24.207755355855536,20.26550665752182,49.43593518583196,10.41635351261006,1191.7997189113157,21.802819653675115,48.76459762862934,8.24048776742081,0.0
232,Mew2King,61.44600723163572,927.5219929975979,19.055906686444846,56.26747523923456,53.48064101442758,5.269704286746128,7.4501656755770185,20.009282558608007,163.98622681845862,13.201463489118925,76.67146011269789,23.997307692050782,49.86108649893163,21.452725694782657,5.810994060595215,28.720938962816643,78.35709010351947,12.985261289860976,946.2418624051086,20.697771782514582,41.47029224335462,7.6525877238244835,0.0
233,Infinite Numbers,120.49137449870008,1221.6215229173558,15.831963101879317,64.1847054998373,49.64048283069677,4.882163339495426,0.774027176241967,26.97356896701273,550.7909397473913,8.8771131589967,58.93424048027008,8.961813220332786,62.14992810289752,6.246438662017152,9.633551100345517,28.981988513542053,67.00100750388293,6.452084040476919,901.3940334311346,23.629978753949743,51.26480719394803,7.22482001784598,0.0
234,Leffen,92.03711570302391,1366.0509120839329,10.40619510473668,79.38038077166183,51.6877784539104,5.286027510995815,31.431791010579122,21.115119051447955,290.5879581856713,13.898080354874342,26.088223026036427,5.512151453507637,66.5293330988803,25.909728527331687,-0.11189288388025886,26.613701661196707,51.099678914751316,8.215597535789234,1336.4198630153974,21.06053411327121,50.63208587379523,8.071224822482453,0.0
235,PewPewU,114.94567958771802,1511.8745640652055,14.681181310493571,94.3372198271943,42.37996589041824,8.649055160601621,11.42684587513579,27.203682573012024,233.5572590610389,16.476090864228546,45.32839416386566,12.294190002442836,45.12963293504438,16.746977494748982,14.479859013896288,8.26734915488306,30.442254881069587,6.428484375505009,1825.698315556198,20.800936870092166,44.69534632311488,8.719813011469126,0.0
236,Mew2King,41.20858744807809,1401.7164479330709,13.43852415111517,13.760724936332636,50.83306886096298,5.000071527881404,19.10875837810596,30.233800033611722,337.36198974373946,14.704595862555179,55.502951545204176,3.467945470763321,59.36136591365835,17.79834661354104,8.499532927811346,29.694787612050057,41.18186828633031,5.626331082887439,1360.2302331679452,20.463290613949468,43.04569193162806,6.632639980646315,0.0
237,Westballz,91.13261532795022,549.6880971345252,13.35217302577915,45.852782853941335,49.14358551814832,7.270761361180863,29.19399319885992,20.95303271557224,210.73171266084637,2.9951653396181848,26.7465715797281,17.06071843598361,85.97366703648164,17.427812460913117,12.082306400684656,22.853029199579225,45.530760830351454,10.533374590066817,1481.710275625452,21.74078949062916,50.602790453703676,8.822165023098945,0.0
238,Lucky,72.83126815907995,1202.3396949890289,15.87595070765273,48.2782644128399,57.801945134175405,6.548146085535028,35.442810582764324,30.09012689232288,243.91588398895163,10.823707588204059,51.56084300056824,19.511780579824833,58.29966328377957,14.244212387705918,24.7297777527734,23.77506930030434,37.241083967221655,5.523575986191066,1327.0364584507302,15.091920180821944,50.235977038540334,7.016719036133123,0.0
239,Axe,104.34654100514211,1469.1662735070909,16.425494291355676,78.82130849386127,45.288059870552175,6.176457281814697,13.583248496034177,25.986271149902304,212.43956481716393,11.924910177454377,39.66965910878018,6.643660408356832,72.69748477611255,11.998619050481423,13.659852324141978,32.702257953591925,23.741374951875482,9.376877666773495,1015.4525477201115,16.98589068229069,47.68442393856123,4.467898841490006,0.0
240,ChuDat,85.3186085514383,770.1513293367275,15.680293744026425,68.04902435720764,55.954485845482836,5.401511391556927,15.909699173903569,28.54117664102032,307.1042808855226,10.729615633313687,56.653804121131756,22.73948225971027,83.13169168212153,30.524137525175437,27.61666747890126,12.699653409615903,27.358329831027476,12.93078293049259,1195.085525018489,22.90942483966589,43.05418456198582,9.580582996552852,0.0
241,Infinite Numbers,51.39069811486597,1858.4760079670089,13.51929244853073,9.526213851851104,55.989102417837934,3.896164013722948,24.40813636009313,24.016614364030687,156.78791608131687,15.390589177861564,49.30683479884684,22.364797124783948,70.98089376352902,1.3418281487999206,20.540336590441036,21.18717224571617,60.70641255503338,8.947455747087758,1324.5207582241428,19.515809405434254,52.712435584515035,8.100679933027191,0.0
242,HugS,50.60129661867672,1213.7954788462139,12.968231868441155,4.888574580497927,51.16908099686192,2.471696909876299,-2.5193850896353327,18.19051968262484,88.75403042820952,13.054150711423727,57.83125932928485,10.495005388862626,70.36756630533601,30.140265983525925,16.048016005783264,26.070467723895014,96.11424282649764,5.440516745637896,1022.3464279544811,20.13125754125015,46.54754600689556,5.702525987040707,0.0
243,Leffen,133.40171516459063,1211.9201341967157,15.015650829083608,75.91947084455757,50.61104565861312,7.063721424117351,29.949189966785394,17.519212719715007,352.0542083313264,5.294896187062621,69.86296074114172,18.085968617503042,55.95597522729241,11.044563031098953,3.939247483433598,26.694833601291464,76.59456239538162,10.4174611243324,1327.7179568965375,20.126525788692273,45.998098933540504,6.716299259529338,0.0
244,S2J,98.13516531086597,2005.705023902425,14.035254865494093,1.5387800187799883,44.1171967607933,8.008493871614649,29.720451473799415,20.394181400926385,121.43496257852922,10.824868544533155,39.42957612304144,5.588158517955669,76.01120410892668,24.34185075568819,18.31907050104553,14.486638708280736,49.936258182912255,6.929872884193619,1476.2997712133044,26.66185626040102,48.476112742709766,9.86694424959915,0.0
245,Mang0,82.35745623247556,659.9417061086549,16.298695243636793,10.020049299251461,47.18809731769758,4.169440202873868,0.5911903814141279,30.58712066002905,60.18992123932865,13.535176981904858,41.520533793574174,12.433487053764312,64.20707308751713,15.124481536173144,15.377489862880873,5.37406703459938,58.59468914890228,8.231546273295244,1062.8661896234544,13.98426578686745,47.42979897581259,4.359473527622891,0.0
246,SFAT,46.813450707652045,1299.0224770403975,18.596984722559576,22.51787504944417,49.17422589223109,1.3843373180111902,29.895406103306044,24.063239300843506,459.2228225486896,17.45695067209577,43.90821818036228,15.771389993193575,79.04035516393213,16.026321093824357,3.7237360233042853,38.72973386256229,51.91849011214203,12.075493611707005,1265.1351515468773,22.89478238532078,51.848212249592365,4.3195861884044,0.0
247,Axe,132.65766362287027,747.1775029262753,15.039542226051717,109.50342012666944,49.06384711425062,6.380656365569286,27.8678549987167,20.537684766609043,359.4814117383039,15.28186968232149,39.00986405894624,22.230647449879857,51.05726168572648,15.179324672883455,16.308190375027774,15.943209077911202,68.76131921600047,12.458066848902309,1700.625240138645,19.894783087714682,52.31304151400683,7.820599590764164,0.0
248,Infinite Numbers,75.80168964451813,1763.6801369939185,13.271404422547786,39.255257661714275,56.258448981342916,5.6437293514393865,17.282305125466557,20.566889389517122,391.9936621561508,9.95163414570823,70.45821448521691,14.137615696642197,80.29200241566866,28.926003789311725,10.055505320863187,24.15742743326588,35.892322912162896,7.920748241785396,1688.671391530536,21.037025005590333,44.46553792197808,4.616578859732227,0.0
249,Plup,113.94757346284621,746.9166573749933,15.150322179465203,113.20427582396198,50.10869988638249,7.291283523065435,21.094927611864506,15.879425891980384,235.51446124792693,20.991696492605946,33.18676110480939,12.530910209788553,65.47886246438605,23.538431212127374,21.07901288189845,26.93378689170948,88.21141167269998,11.099831250717507,1045.3406352052766,19.95601930713086,54.48258233957504,5.6927683072572135,0.0
250,S2J,116.25094161682068,1055.5028482906637,17.100708386764676,40.3252707187591,49.6783075621441,5.236809883840687,4.438924499029964,27.91797096795787,522.5980694119971,13.085174789534442,32.45548285116522,17.236500770539973,55.14292450476344,6.758013904505396,19.103157491913713,40.76793713522494,98.16841625613995,8.875607746350914,1243.371088795037,16.261439424490888,44.03596798433333,4.251194962854786,0.0
251,PewPewU,64.11149008025367,678.1798639623455,10.29865521091121,63.48086150237492,50.84200283151305,1.8349645897479774,24.655435771055465,11.005106571002688,272.9125389799737,12.922689233208434,73.06188623881567,6.481925858014354,63.339317078434235,12.805716838061636,10.514051087216927,35.517983803758035,62.06466949002424,11.652349892550545,1904.3632573589455,23.426880577311945,47.57657648410799,7.332634242124394,0.0
252,PewPewU,89.14326440823551,1917.2305813109267,14.940452088850932,62.37043739136443,47.30598217908576,6.766745598038329,26.830322568251134,28.1537262955114,267.3055291284462,21.016616507787777,63.977350352952655,7.932782198352216,46.03084767132408,13.649616804790263,17.583042819969354,30.73333465570154,63.061293009837186,10.00083558092845,839.4901160450216,19.153226766392194,42.97328638536933,7.586511550189057,0.0
253,Westballz,68.50424713476733,845.2415597761537,16.005564977642834,5.301334871267301,47.40352077668067,5.4859398685111005,23.639261513015416,23.46485384423986,136.14839619552885,6.088729316655157,26.162889691250694,16.707403424581145,87.14090660139324,18.411235258302856,17.506502323612203,18.515894955432078,38.6566713385726,13.90725936832078,1822.045341347682,15.43140495939764,47.96348147983384,9.193505034479934,0.0
254,SFAT,106.31407426641071,727.3532078650196,14.463706362932736,17.27833327402942,43.893247496274626,4.162892961353204,-1.518651435362222,24.338233388184086,236.22717599442572,8.46115278464481,64.26379621701754,15.590137394978944,65.69151209911945,7.098757027823044,13.78486677628213,20.39759233790461,52.0203281983512,8.54230628460775,1993.3822980018767,19.10907029680383,43.65967710399736,5.6739746512139915,0.0
255,Infinite Numbers,91.73732426220585,1825.8528843462025,19.052283382030936,116.17367596341403,55.56371857010838,2.501748838109756,23.965901367772453,23.215889663832563,408.65985586889735,20.044547984699964,43.13894215705415,15.332215804376835,56.431167308817905,14.888094238842113,13.28066732038606,23.50360387663801,64.72790389135481,13.307405495131865,1420.3221802888936,18.17222994805067,48.37843512852325,3.897133491782667,0.0
256,Mang0,83.57654702457037,1757.8315622124464,18.669030761467816,31.960776840590356,46.9111234093522,6.453583222222595,8.625321850940452,27.350819913013048,212.37420194178114,11.446709964563016,30.349796619595676,22.066908500330797,85.42535800031925,25.003279543436637,10.562277663664464,44.64616040095742,91.45092387625823,4.02722599713975,1417.8982040865387,18.86167707439984,47.57385330498312,5.802238509873689,0.0
257,Infinite Numbers,83.77515686387441,990.2351204632685,14.502436762352257,73.86619281673588,48.1304392565466,0.7225584388303581,2.0110565812770282,18.40803199952974,289.79113066134124,15.19679872748479,41.881369828029115,14.105651325326832,81.31879967048029,16.634783972820603,0.4538878427199875,22.46733394943038,67.5647328527096,13.282828533398105,1643.0300453717641,19.38283945070104,46.50459276422243,6.41391770709855,0.0
258,Plup,78.65095296435945,836.6494564062136,17.768520662571248,9.717803784687156,42.60575934993128,8.447085018954498,26.616829013700322,21.74608902248599,274.36180366825437,14.903830247752975,45.593727932301405,4.71873962614877,49.27766073315015,16.151394528958885,6.524789880004999,34.78638904435174,48.437619548241116,11.53728092372259,1563.322874225984,19.19041418528768,48.73355661962636,5.587382787903168,0.0
259,Leffen,82.70071080015674,1166.9595720881366,18.8847547432573,116.96967910826396,53.057818862164154,0.08057016942181061,10.896507553213425,13.668870096874855,237.60845683135588,7.2450100339451495,31.063279462025598,12.933529838563198,41.892287022617914,27.802514895630477,3.318792146547242,27.723712206936106,66.15527937810506,6.81644947967791,1862.9894917243494,20.91931823069133,39.61087860149908,6.474375535891228,0.0
260,S2J,95.84033705400208,1205.923930981622,14.525885826422924,96.44208091953045,58.39753157991872,2.5613573632386353,16.17481272944284,30.063648110595704,309.48486525008144,10.236034751722066,46.68581462612449,11.613216624799309,71.67945301671863,4.341165827894974,13.584464911604785,20.506726884278542,53.63097455187789,11.563268245291464,1735.5288885033992,19.72539492693898,54.4056510752478,9.316992862224886,0.0
261,SFAT,80.5398528828014,967.179988925603,13.000070336700492,11.34425596673342,48.2318939053145,7.178546000803878,6.767536987177177,9.606802423440964,230.613899639841,8.035360571825777,41.20464668146993,13.273402324247506,55.3692479353637,18.16899074146051,18.61658120763725,12.943693866840123,25.65592532072089,13.366414395586,1379.2013240703473,15.403274325751553,40.6016249196636,5.8981585319833965,0.0
262,Axe,102.77429270172959,1593.283232791432,14.72477441641843,3.9187425150570263,41.034780269926216,6.376652164384866,20.45601977908346,23.742381472842393,341.23611518937423,7.378442807758034,56.21968949173896,13.180850660288401,63.891167341286874,17.827843103499465,14.302439343966924,45.313575382982734,52.470432116102664,11.436076596333995,1142.7321298942668,20.80766155056226,49.06744181370304,5.8653023800334,0.0
263,Westballz,81.2115641302984,1376.670232555391,15.784631391327128,71.27695331185048,54.757899604944896,7.660117432961316,34.53289504621803,20.36052080213915,135.78508286819596,9.983618920029697,72.10615838550883,4.9862007055944355,59.33605849824417,14.671624346154118,19.799661956643632,32.11019283002531,78.82836976737622,10.509934499742002,1075.2905305137594,24.497642260669377,54.88499012062054,9.109984706353108,0.0
264,Leffen,75.44913005639097,1267.589025777889,13.502127370630777,81.05365087539857,49.253662618812996,6.13264564295569,19.58499544435299,23.614467388826924,322.756477885531,20.295136938403036,67.73960141522326,7.167816082691723,62.259915285710235,19.829689092543738,4.2281013379106485,37.183389207073624,79.6020731293388,4.418139635103475,1300.9008556643676,14.220849306574397,43.110112580960234,4.44193188814361,0.0
265,Lucky,133.77913793167951,1598.8723858928156,15.911558731604503,13.444527593180851,50.176613416462864,2.663371457409063,21.550203175885947,17.04277776025522,264.13606702872744,19.15344484362751,36.8778420570208,12.910766137380474,69.39354914260855,28.933424237198608,18.41552122499824,38.35641026415661,32.66637075184599,10.921788856540307,1893.6314582215355,20.421537081432817,49.38895999795801,5.881760391041281,0.0
266,Plup,78.52536006057682,500.9586443335503,19.882145770567924,103.44051089349692,52.45465890361244,3.8634968217402896,17.662210984284005,14.762146292270332,172.81243642560418,2.1009922166596033,80.75001191152663,16.241033016179465,66.5218344527109,23.364130824514,3.6776152129401805,24.885329885019274,72.69762637883755,8.245697751935197,1378.5131899130174,24.357333188978913,47.65041187043112,5.2266549246247305,0.0
267,Mew2King,62.87480395063671,1749.6370385097814,17.69474277649592,90.5583224245836,48.89732608134764,2.7705988255472818,16.27588169727204,13.972145022854061,425.4262596220251,8.67583763732496,52.7769485985982,2.209766408537998,45.605753819202235,4.9175681040589305,10.89318980599956,21.610147009313586,49.03187963387188,9.106286625146076,793.1572756290236,26.007687467035225,46.17712151440404,5.16628508287971,0.0
268,ChuDat,48.25500624555404,1866.5274417880655,16.160389493816435,66.1883052370361,52.020954141770844,5.096177402907744,13.54884379643013,26.90051242273124,190.21584184858364,5.020348951174044,40.43906578604957,20.40094729479553,75.76840031113817,21.04127743756484,15.417890848875407,12.815745161538214,81.35815060241615,9.966189390008651,1340.398218577516,22.155875275048334,44.8076981266092,7.04061695477495,0.0
269,Westballz,69.15427433769517,746.3040221633389,13.80931917946721,53.5234691679447,55.90572542159431,7.001582055611635,14.562158151215993,17.37185869158146,245.50337444133453,12.76569916591785,74.43959345432569,16.6361241850979,67.81452365747883,15.569861542973149,25.508472198449933,24.185911275286873,67.81472586047155,14.88746093716473,879.2884940478817,18.948907733518023,52.83910439509889,7.7144822163625015,0.0
270,Leffen,96.4424031822925,1464.7767998838272,10.337985772857449,77.35037500094384,55.90751021449013,8.812263570796441,14.897931017531342,26.47772327529374,283.68843629705634,7.766296609513422,48.88581590997759,2.3017554621895835,67.47899228959875,13.23884313881459,10.235231615706804,7.667819124378093,48.79178240569444,11.430967100714838,773.5440146244694,17.7825809596618,49.666347471930266,9.369513477423745,0.0
271,Mew2King,90.38552858512597,1429.8115506882318,14.839918611733562,44.057114519891115,54.5734695108602,2.7807506102894024,15.273162177104261,27.92733473680753,156.9650580577695,12.812439740692342,47.11269035870354,12.251692486945005,58.25480368694312,27.11753953233172,13.134134010472229,18.106345190132767,65.23169683196878,6.325707066204557,1571.2308857824614,18.905293804332967,44.72750222583715,5.113586201290372,0.0
272,Infinite Numbers,104.07445166415177,1739.9669247987333,10.663564238180506,0.856609443596895,46.272531084864575,6.569400819971987,30.075729023185495,23.46079038188099,412.46161341294004,9.37130998556188,35.7563025317442,9.856652499596544,78.12617828255952,5.844504023158748,21.403050740867435,7.142670641853442,57.92080279720146,7.740115604305837,1734.0421361186131,17.948165520210004,53.99976728106168,6.070701798895592,0.0
273,Mew2King,84.70190425515946,952.0588306400875,16.693723094904428,28.859310511577377,51.46369133989288,4.743518513927756,16.811630865102476,29.95710007746635,222.6222096869251,17.144045500648463,57.35766876970389,10.090997996432845,76.65966352979619,20.926254425234816,8.123027723332147,31.06944818756517,41.887262409535225,8.863103370253654,970.9009869502248,25.190026908166157,46.16816485466384,8.471014056702586,0.0
274,Westballz,80.31101535949398,1099.5783205059672,17.667067887929118,38.08184542919066,51.03470576870412,5.12610535191285,7.204591005136635,12.532597712576596,147.41643283461983,2.9500079436256033,75.67396074662535,3.18287121431331,70.16388319924897,15.536257340835848,13.89604188366169,32.69596201788367,70.62276780614489,7.280647362017568,1496.0340885284268,24.206402487088482,46.178798416225774,7.428942046816658,0.0
275,HugS,121.3535598239309,1056.888009724958,14.671367877060833,15.52390963432142,48.677316348128116,1.6230405044186678,13.423575362970936,23.114177393394776,291.34188949984815,6.400693001098065,42.93317661655346,15.40477616166561,47.81514008209883,13.080440553636615,10.91031707719562,24.996495053848175,63.09943709322235,9.458883262226209,947.4059394536689,20.28513975885766,48.430645890838754,6.14473508710142,0.0
276,Mang0,94.51825865442497,1511.2450081055551,19.791836735240626,47.16811692780284,44.06474113706909,6.941601511788931,19.731316301521744,34.198723227250106,490.43260048192394,5.196606353902653,50.18881427690061,15.706527021490226,62.16931079918325,15.07178169689499,15.408838609352019,15.66478045630944,38.79230740712241,5.0774346000551365,1377.0518513034037,25.91493797711348,48.35038176418105,7.653153774381854,0.0
277,Lucky,33.09958045533879,1746.1501958682775,17.212564116805407,44.031341300216994,56.461336697499824,2.8000303816376073,31.54106587739436,22.594323533223772,364.77238482279444,11.724530626035033,50.7204254515586,7.607346134229855,62.02306663785041,20.68509038013111,13.78733655757166,44.499973958900576,59.02966099255767,12.939772857257463,1705.8259261215044,26.266570252778905,44.57313390221759,7.2210866210334625,0.0
278,SFAT,51.03198993210758,538.6304510196222,17.14618880116617,106.11356845362381,48.40582873509761,6.053076412771641,20.544720118564285,23.48662560657364,135.44718974035146,7.437057618338448,20.651801739910997,17.97305571560065,75.83829306746193,15.398014047385333,15.540965035131272,29.766597371720117,30.21331063471132,14.69179137306504,1415.5536369070255,26.58310957079799,45.6851342697101,8.368699409829595,0.0
279,Westballz,63.358626415538694,1210.9825912418896,15.949767123102713,-4.767125176651756,45.152130150286254,4.939637020265798,9.368722487570729,19.458300890568992,338.6882562212682,13.078678967084546,34.82821627283586,4.7572067126266,52.58898548703152,2.229956937392866,9.57035684210452,25.862419087282987,74.96511538450662,10.765783447331398,804.9744739938353,23.58761352595198,46.369365552405895,9.095758227233537,0.0
280,S2J,101.9280141707195,1080.7172652441,14.604264797657127,68.56668134868586,61.00416688263479,5.0697342762299815,30.289825323553067,17.32947937493772,265.95876210330334,18.913207231753162,46.22432584556474,13.940280836884236,71.82801547011033,8.76031099505185,13.888990176384144,13.739443034506301,58.71195753418206,10.12929320045395,1425.3562803867653,19.539178382702325,42.144121975238804,7.518832681530953,0.0
281,Plup,80.88101479426876,2038.6412519846924,16.718345431014626,113.44191511044691,53.13420976213906,7.076983013796446,30.02296494311372,30.783470626818144,177.65596215104762,19.881944919443807,59.97599342248966,12.271927281442576,60.91570940356225,19.43691309253197,14.748763504719461,40.36343315726098,82.66461849139333,8.389062586586082,1513.9682365346275,23.863780825432343,52.636571131325795,5.726765321368469,0.0
282,ChuDat,72.30301660878933,1492.903838816268,16.001069668316013,66.269121166696,54.567473889129474,5.250440541625761,6.637030409258271,28.589599234508526,117.91568432485056,6.403588801169531,60.954123954798845,14.855026979312314,66.11789556912281,22.412015219131412,11.806107036457536,16.653300128596918,26.265015246726637,10.877569523665386,1382.3153418965358,24.62891743592043,42.62795488307599,5.118639267321303,0.0
283,SFAT,89.91967028930603,1197.598136320757,21.038644911406085,41.981110205823754,53.99492305585857,5.634554893023116,22.411332837501185,21.024367396412455,268.8778809918956,3.526277825037073,42.163786788627625,11.791846047557522,82.16728459874727,28.735506703106534,14.003480989008809,19.95499504445299,63.62137162948157,15.192661610791006,2047.9806720533436,17.700616877655847,41.592412979793316,7.979510667609288,0.0
284,SFAT,90.46701030557954,926.5022158221946,16.89209617011722,26.064039044426018,46.70921885361216,8.055270669034357,27.391595804428338,29.966798616869575,363.15814682966896,6.14694827707965,57.999167900472386,4.067308371662778,44.44697417608539,1.6332669422370318,21.214801882813497,40.83588112588084,42.747489199380624,14.234057444107638,1061.8911565856163,13.628428882172749,43.84640308335788,5.349044581821181,0.0
285,Leffen,40.27888078441836,925.4615326280602,14.364259799074016,58.75546606033899,49.93339298741555,6.286613491904938,34.530751983322475,24.666418143421023,477.0817941801911,9.076920333834693,57.31692752957049,11.075292069617285,55.98581266072706,10.67990137711504,16.09485617117223,41.14976538194548,88.44123109781668,13.995754531273832,849.0440563308782,21.40952554354028,47.44715839772051,8.727233854011361,0.0
